No,Jenis BMN,Kode Satker,Nama Satker,Kode Barang,NUP,Nama Barang,Merk,Tipe,Kondisi,Nama,Tanggal Perolehan,Nilai Perolehan,Nilai Buku,Status Penggunaan,gps_latitude,gps_longitude,Alamat,RT/RW,Kelurahan/Desa,Kecamatan,Kab/Kota,Provinsi,Nama K/L,Kode Register,KELOMPOK BMN,Kelompok Indeks,Indeks Total,Start_date,Nilai Premi
119,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,20,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ES-II,RUMAH JABATAN,Baik,RUMAH DINAS ES-II RUMAH JABATAN,2008-12-13,"586.873.500,00",503508270,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.18,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF692BB7E0531561F20A8614,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"1150858,934"
122,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,76,Rumah Negara Golongan I Tipe A Permanen,,RUMAH JABATAN,Baik,RUMAH JABATAN,2011-03-30,"1.811.591.000,00",1556474871,Digunakan sendiri untuk operasional,,,KARTIKA UTAMA,BLOK PS 51,PONDOK PINANG,KEBAYORAN LAMA,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E2AA275BFF3E2BB7E0531561F20A8614,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"3552529,951"
124,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,78,Rumah Negara Golongan I Tipe A Permanen,,RUMAH JABATAN,Baik,RUMAH JABATAN,2011-03-30,"2.428.959.200,00",2183238241,Digunakan sendiri untuk operasional,,,KARTIKA UTAMA,BLOK PS 40,PONDOK PINANG,KEBAYORAN LAMA,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E2AA275BFF652BB7E0531561F20A8614,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"4763188,991"
128,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,121,Rumah Negara Golongan I Tipe A Permanen,"GRAHA PEJANTEN, JALAN PEJANTEN RAYA, PASAR MINGGU",,Baik,"GRAHA PEJANTEN, JALAN PEJANTEN RAYA, PASAR MINGGU",2023-08-31,"5.151.229.244,00","5,00E+09",Digunakan sendiri untuk operasional,,,Pejaten Raya,-/-,Pasar Minggu,Pasar Minggu,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",0745123736499E06E0631561F20AA263,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"10101560,55"
131,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010202001,1,Rumah Negara Golongan II Tipe A Permanen,,RUMAH SAMOSIR,Baik,RUMAH SAMOSIR,1970-02-09,"651.994.000,00",398495747,Digunakan sendiri untuk operasional,,,JALAN BPK RI NO. 14,01/01,KEBON JERUK,KEBON JERUK,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF4C2BB7E0531561F20A8614,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"1278560,234"
133,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010202016,1,Rumah Negara Golongan II Berupa Mess/Asrama,MESS,MESS,Baik,MESS MESS,1969-12-31,"741.609.000,00",0,Digunakan sendiri untuk operasional,,,Jalan Kompleks BPK I Kebon Jeruk,01/01,KEBON JERUK,KEBON JERUK,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF6E2BB7E0531561F20A8614,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"1454295,249"
136,RUMAH NEGARA,004010199631648000KP,Badan Pendidikan dan Pelatihan Pemeriksaan Keuangan Negara,4010201001,2,Rumah Negara Golongan I Tipe A Permanen,Rumah Dinas Kepala Badan Diklat PKN BPK,,Baik,Rumah Dinas Kepala Badan Diklat PKN BPK,2007-12-13,"1.320.064.460,00",895762192,Digunakan sendiri untuk dinas jabatan,,,Jalan Binawarga II,RT 06/RW 07,Rawajati,Pancoran,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637FE8B364DB8E0531161F20AC8DF,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"2588646,406"
141,RUMAH NEGARA,004010200450799000KD,BPK PERWAKILAN PROVINSI JAWA BARAT,4010201007,7,Rumah Negara Golongan I Tipe C Permanen,,,Baik,,2007-12-10,"462.479.000,00",300611350,Digunakan sendiri untuk operasional,,,,,,,,,"0,5",E2AA275BFC362C09E0531561F20A836A,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"906921,319"
148,RUMAH NEGARA,004010200450799000KD,BPK PERWAKILAN PROVINSI JAWA BARAT,4010201010,8,Rumah Negara Golongan I Tipe D Permanen,,,Baik,,2007-12-10,"419.397.250,00",272608212,Digunakan sendiri untuk operasional,,,,,,,,,"0,5",E2AA275BFC402C09E0531561F20A836A,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"822438,0073"
150,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201007,1,Rumah Negara Golongan I Tipe C Permanen,Rujab Mega Residence,Permanen,Baik,Rujab Mega Residence Permanen,2011-11-23,"173.639.000,00",122069594,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 1,16/06,PUDAK PAYUNG,BANYUMANIK,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADBA3F1EE0531661F20A1C14,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"340506,079"
159,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201010,5,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Jabatan,Permanen,Baik,Rumah Dinas Jabatan Permanen,2011-11-23,"173.639.000,00",128139297,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav.10,16/06,Pudak Payung,Banyumanik,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADBC3F1EE0531661F20A1C14,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"340506,079"
162,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201010,8,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Jabatan,Permanen,Baik,Rumah Dinas Jabatan Permanen,2011-11-23,"173.639.000,00",128139297,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 13,16/06,Pudak Payung,Banyumanik,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADC63F1EE0531661F20A1C14,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"340506,079"
164,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201010,10,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Jabatan,Permanen,Baik,Rumah Dinas Jabatan Permanen,2011-11-23,"198.892.427,00",152719300,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 15,16/06,Pudak Payung,Banyumanik,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADCD3F1EE0531661F20A1C14,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"390028,0493"
166,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201010,12,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Jabatan,Permanen,Baik,Rumah Dinas Jabatan Permanen,2011-11-23,"173.639.000,00",128139297,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 17,16/06,Pudak Payung,Banyumanik,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADC93F1EE0531661F20A1C14,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"340506,079"
176,RUMAH NEGARA,004010400003030000KD,BPK RI PERWAKILAN PROVINSI DIY (01. SEKJEN),4010201010,8,Rumah Negara Golongan I Tipe D Permanen,,50,Baik,50,2006-12-15,"219.679.000,00",185167316,Digunakan sendiri untuk operasional,,,DEMAKAN,34/09,TEGALREJO,TEGALREJO,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BEB03BB9E0531561F20A0A4B,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"430790,519"
187,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201004,1,Rumah Negara Golongan I Tipe B Permanen,Rumah Jabatan Kepala Perwakilan,,Baik,Rumah Jabatan Kepala Perwakilan,2008-03-05,"1.812.731.500,00",1488473266,Digunakan sendiri untuk operasional,,,"Perumahan Permata Juanda Blok G-05 (Desa Wedi, Gedangan, Sidoarjo)",,Wedi,Gedangan,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C4E7DA50E0531261F20A2937,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"3554766,472"
200,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201010,23,Rumah Negara Golongan I Tipe D Permanen,Rumah Jabatan Eselon 4,,Baik,Rumah Jabatan Eselon 4,2011-12-06,"182.091.000,00",151052760,Digunakan sendiri untuk operasional,,,Perumahan Juanda Regency Nomor D-15,,Pabean,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C4F0DA50E0531261F20A2937,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"357080,451"
203,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201010,26,Rumah Negara Golongan I Tipe D Permanen,Rumah Jabatan Eselon 4,,Rusak Ringan,Rumah Jabatan Eselon 4,2011-12-06,"182.091.000,00",151052760,Digunakan sendiri untuk operasional,,,Perumahan Juanda Regency Nomor D-18,,Pabean,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C4EBDA50E0531261F20A2937,BMN PREFEREN REALISASI,4,"0,5",04/01/2027,"357080,451"
204,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201010,27,Rumah Negara Golongan I Tipe D Permanen,Rumah Jabatan Eselon 4,,Rusak Ringan,Rumah Jabatan Eselon 4,2011-12-06,"182.091.000,00",151052760,Digunakan sendiri untuk operasional,,,Perumahan Juanda Regency Nomor D-19,,Pabean,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C4F8DA50E0531261F20A2937,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"357080,451"
205,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010202016,1,Rumah Negara Golongan II Berupa Mess/Asrama,Mess Pegawai BPK Jatim,,Baik,Mess Pegawai BPK Jatim,2007-11-27,"2.866.725.000,00",1863371250,Digunakan sendiri untuk operasional,,,,1/1,Sedatiagung,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C500DA50E0531261F20A2937,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"5621647,725"
206,RUMAH NEGARA,004010600450774000KD,BPK Perwakilan Provinsi Aceh,4010201004,1,Rumah Negara Golongan I Tipe B Permanen,RJ ES II KALAN,250,Baik,RJ ES II KALAN 250,2007-11-15,"793.313.000,00",644566812,Digunakan sendiri untuk operasional,,,TEUKU UMAR,LR KESEHATAN,GEUCEU KAYEE JATO,SETUI,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM,"0,5",E10638163E363B6CE0531561F20AC903,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"1555686,793"
207,RUMAH NEGARA,004010600450774000KD,BPK Perwakilan Provinsi Aceh,4010201007,1,Rumah Negara Golongan I Tipe C Permanen,RJ ES III KASUBAUD ACEH III,70,Baik,RJ ES III KASUBAUD ACEH III 70,2007-11-15,"257.938.000,00",222796029,Digunakan sendiri untuk operasional,,,TEUKU UMAR LR. KESEHATAN,-,GEUCEU KAYEE JATO,BANDA RAYA,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM,"0,5",E10638163E373B6CE0531561F20AC903,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"505816,418"
210,RUMAH NEGARA,004010600450774000KD,BPK Perwakilan Provinsi Aceh,4010201007,4,Rumah Negara Golongan I Tipe C Permanen,RJ ES III SEKLAN,70,Baik,RJ ES III SEKLAN 70,2011-06-16,"178.006.000,00",147315310,Digunakan sendiri untuk operasional,,,TEUKU UMAR LR KESEHATAN,-,GEUCEU KAYEE JATO,BANDA RAYA,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM,"0,5",E10638163E3B3B6CE0531561F20AC903,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"349069,766"
211,RUMAH NEGARA,004010600450774000KD,BPK Perwakilan Provinsi Aceh,4010201010,1,Rumah Negara Golongan I Tipe D Permanen,RJ ES IV KTS,50,Baik,RJ ES IV KTS 50,2007-11-15,"113.019.000,00",91827937,Digunakan sendiri untuk operasional,,,MALIKUL SALEH,-,PINEUNG,SYIAH KUALA,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM,"0,5",E10638163E393B6CE0531561F20AC903,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"221630,259"
212,RUMAH NEGARA,004010600450774000KD,BPK Perwakilan Provinsi Aceh,4010201010,2,Rumah Negara Golongan I Tipe D Permanen,RJ ES IV KASUB KEU,50,Baik,RJ ES IV KASUB KEU 50,2007-11-15,"113.019.000,00",91827937,Digunakan sendiri untuk operasional,,,MALIKUL SALEH,-,PINEUNG,SYIAH KUALA,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM,"0,5",E10638163E313B6CE0531561F20AC903,BMN PREFEREN REALISASI,4,"0,5",04/16/2027,"221630,259"
215,RUMAH NEGARA,004010600450774000KD,BPK Perwakilan Provinsi Aceh,4010201010,5,Rumah Negara Golongan I Tipe D Permanen,RUMAH NEGARA ESELON IV,120,Baik,RUMAH NEGARA ESELON IV 120,2014-06-19,"396.177.000,00",332277480,Digunakan sendiri untuk operasional,,,M. THAHIR,LORONG BAHAGIA,COT MESJID,LUENG BATA,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM,"0,5",E10638163E3F3B6CE0531561F20AC903,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"776903,097"
217,RUMAH NEGARA,004010700418553000KD,BALAI DIKLAT PKN MEDAN BPK RI,4010201007,1,Rumah Negara Golongan I Tipe C Permanen,Rumah Dinas Eselon III,Permanen Luks,Baik,Rumah Dinas Eselon III Permanen Luks,1984-07-30,"127.086.000,00",71018646,Digunakan sendiri untuk dinas jabatan,,,Jalan Taska No.4,,Helvetia Timur,Medan Helvetia,KOTA MEDAN,SUMATERA UTARA,"0,5",E1063848273B3F88E0531661F20A2985,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"249215,646"
219,RUMAH NEGARA,004010700418553000KD,BALAI DIKLAT PKN MEDAN BPK RI,4010201010,2,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,D Permanen,Baik,Rumah Dinas Eselon IV D Permanen,1984-07-30,"90.776.000,00",76134710,Digunakan sendiri untuk dinas jabatan,,,Jalan Taska No.8,-,Helvetia Timur,Medan Helvetia,KOTA MEDAN,SUMATERA UTARA,"0,5",E106384827353F88E0531661F20A2985,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"178011,736"
229,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010201010,6,Rumah Negara Golongan I Tipe D Permanen,Rumah,Permanen Luks,Baik,Rumah Permanen Luks,1984-07-30,"90.776.000,00",76134710,Digunakan sendiri untuk operasional,,,Jl. Taska No. 11,01/01,Helvetia Timur,Helvetia Timur,KOTA MEDAN,SUMATERA UTARA,"0,5",E1063848273D3F88E0531661F20A2985,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"178011,736"
230,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010201010,7,Rumah Negara Golongan I Tipe D Permanen,Rumah,Permanen Luks,Baik,Rumah Permanen Luks,1984-07-30,"90.776.000,00",76134710,Digunakan sendiri untuk operasional,,,Jl. Taska No. 13,01/01,Helvetia Timur,Helvetia Timur,KOTA MEDAN,SUMATERA UTARA,"0,5",E1063848272A3F88E0531661F20A2985,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"178011,736"
231,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010201010,8,Rumah Negara Golongan I Tipe D Permanen,Rumah,Permanen Luks,Baik,Rumah Permanen Luks,1984-07-30,"90.776.000,00",76134710,Digunakan sendiri untuk operasional,,,Jl. Taska No. 15,01/01,Helvetia,Helvetia Timur,KOTA MEDAN,SUMATERA UTARA,"0,5",E106384827433F88E0531661F20A2985,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"178011,736"
233,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010201010,12,Rumah Negara Golongan I Tipe D Permanen,,Permanen Luks,Baik,Permanen Luks,1984-07-30,"90.776.000,00",50727767,Digunakan sendiri untuk operasional,,,Jl. Taska No. 10,,Helvetia,Helvetia Timur,KOTA MEDAN,SUMATERA UTARA,"0,5",E106384827213F88E0531661F20A2985,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"178011,736"
234,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010201010,13,Rumah Negara Golongan I Tipe D Permanen,,Permanen Luks,Baik,Permanen Luks,1984-07-30,"90.776.000,00",50727767,Digunakan sendiri untuk operasional,,,Jl. Taska No. 16,,Helvetia Timur,Helvetia Timur,KOTA MEDAN,SUMATERA UTARA,"0,5",E1063848272B3F88E0531661F20A2985,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"178011,736"
235,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010201010,14,Rumah Negara Golongan I Tipe D Permanen,,Permanen Luks,Baik,Permanen Luks,1984-07-30,"90.776.000,00",50727767,Digunakan sendiri untuk operasional,,,Jl. Taska No. 18,,Helvetia Timur,Helvetia Timur,KOTA MEDAN,SUMATERA UTARA,"0,5",E1063848271F3F88E0531661F20A2985,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"178011,736"
240,RUMAH NEGARA,004010800890572000KD,BPK PERWAKILAN PROVINSI SUMATERA BARAT,4010201004,1,Rumah Negara Golongan I Tipe B Permanen,Rumah Negara,B Permanen,Baik,Rumah Negara B Permanen,2011-03-23,"940.999.760,00",697646949,Digunakan sendiri untuk operasional,,,,01/01,Jati Baru,Padang Timur,KOTA PADANG,SUMATERA BARAT,"0,5",E2AA275C590C2B74E0531561F20A28CD,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"1845300,529"
244,RUMAH NEGARA,004010800890572000KD,BPK PERWAKILAN PROVINSI SUMATERA BARAT,4010201010,1,Rumah Negara Golongan I Tipe D Permanen,RUJAB ES IV,D Permanen,Baik,RUJAB ES IV D Permanen,2014-12-31,"212.954.000,00",178971980,Digunakan sendiri untuk operasional,,,Komp. Green Riverside Blok E-1,002/VII,Koto Baru,Lubuk Begalung,KOTA PADANG,SUMATERA BARAT,"0,5",E2AA275C58FB2B74E0531561F20A28CD,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"417602,794"
246,RUMAH NEGARA,004010800890572000KD,BPK PERWAKILAN PROVINSI SUMATERA BARAT,4010201010,3,Rumah Negara Golongan I Tipe D Permanen,RUJAB ES IV,D Permanen,Baik,RUJAB ES IV D Permanen,2014-12-31,"229.534.000,00",192906235,Digunakan sendiri untuk operasional,,,Komp. Green Riverside Blok E-3,002/VII,Koto Baru,Lubuk Begalung,KOTA PADANG,SUMATERA BARAT,"0,5",E2AA275C59092B74E0531561F20A28CD,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"450116,174"
249,RUMAH NEGARA,004010800890572000KD,BPK PERWAKILAN PROVINSI SUMATERA BARAT,4010201010,6,Rumah Negara Golongan I Tipe D Permanen,RUJAB ES IV,D Permanen,Baik,RUJAB ES IV D Permanen,2014-12-31,"229.534.000,00",192906235,Digunakan sendiri untuk dinas jabatan,,,Komp. Green Riverside Blok F-6,002/VII,Koto Baru,Lubuk Begalung,KOTA PADANG,SUMATERA BARAT,"0,5",E2AA275C58FE2B74E0531561F20A28CD,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"450116,174"
251,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010201004,2,Rumah Negara Golongan I Tipe B Permanen,Rumah jabatan kalan,,Baik,Rumah jabatan kalan,2013-11-29,"1.093.578.892,00",937121255,Digunakan sendiri untuk operasional,,,Sumatera No. 19,002/03,Simpang Empat,Pekanbaru Kota,KOTA PEKANBARU,RIAU,"0,5",E10638580CD23C57E0531561F20AF428,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"2144508,207"
252,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010201007,1,Rumah Negara Golongan I Tipe C Permanen,Rumah Eselon III,70,Baik,Rumah Eselon III 70,2012-12-06,"173.240.790,00",147623431,Digunakan sendiri untuk operasional,,,Jl. Rawa Wiri,-/-/-,Tangkerang Labuai,Bukit Raya,KOTA PEKANBARU,RIAU,"0,5",E10638580CB93C57E0531561F20AF428,BMN PREFEREN REALISASI,4,"0,5",01/01/2027,"339725,1892"
